motif_id	cluster
TCFL2(HMG)/K562-TCF7L2-ChIP-Seq(GSE29196)	119
TEAD(TEA)/Fibroblast-PU.1-ChIP-Seq(Unpublished)	31
TEAD1(TEAD)/HepG2-TEAD1-ChIP-Seq(Encode)	31
TEAD2(TEA)/Py2T-Tead2-ChIP-Seq(GSE55709)	31
TEAD3(TEA)/HepG2-TEAD3-ChIP-Seq(Encode)	31
TEAD4(TEA)/Tropoblast-Tead4-ChIP-Seq(GSE37350)	31
TFE3(bHLH)/MEF-TFE3-ChIP-Seq(GSE75757)	1
THRa(NR)/C17.2-THRa-ChIP-Seq(GSE38347)	16
THRb(NR)/HepG2-THRb.Flag-ChIP-Seq(Encode)	16
THRb(NR)/Liver-NR1A2-ChIP-Seq(GSE52613)	15
TR4(NR),DR1/Hela-TR4-ChIP-Seq(GSE24685)	14
TRPS1(Zf)/MCF7-TRPS1-ChIP-Seq(GSE107013)	66
Tbet(T-box)/CD8-Tbet-ChIP-Seq(GSE33802)	127
Tbox:Smad(T-box,MAD)/ESCd5-Smad2_3-ChIP-Seq(GSE29422)	97
Tbr1(T-box)/Cortex-Tbr1-ChIP-Seq(GSE71384)	127
Tbx20(T-box)/Heart-Tbx20-ChIP-Seq(GSE29636)	126
Tbx21(T-box)/GM12878-TBX21-ChIP-Seq(Encode)	127
Tbx5(T-box)/HL1-Tbx5.biotin-ChIP-Seq(GSE21529)	127
Tbx6(T-box)/ESC-Tbx6-ChIP-Seq(GSE93524)	127
Tcf12(bHLH)/GM12878-Tcf12-ChIP-Seq(GSE32465)	8
Tcf21(bHLH)/ArterySmoothMuscle-Tcf21-ChIP-Seq(GSE61369)	8
Tcf3(HMG)/mES-Tcf3-ChIP-Seq(GSE11724)	119
Tcf7(HMG)/GM12878-TCF7-ChIP-Seq(Encode)	119
Tcfcp2l1(CP2)/mES-Tcfcp2l1-ChIP-Seq(GSE11431)	101
Tgif1(Homeobox)/mES-Tgif1-ChIP-Seq(GSE55404)	125
Tgif2(Homeobox)/mES-Tgif2-ChIP-Seq(GSE55404)	125
Tlx?(NR)/NPC-H3K4me1-ChIP-Seq(GSE16256)	81
Twist(bHLH)/HMLE-TWIST1-ChIP-Seq(Chang_et_al)	7
Twist2(bHLH)/Myoblast-Twist2.Ty1-ChIP-Seq(GSE127998)	8
USF1(bHLH)/GM12878-Usf1-ChIP-Seq(GSE32465)	1
Unknown(Homeobox)/Limb-p300-ChIP-Seq	43
Unknown-ESC-element(?)/mES-Nanog-ChIP-Seq(GSE11724)	98
Usf2(bHLH)/C2C12-Usf2-ChIP-Seq(GSE36030)	1
VDR(NR),DR3/GM10855-VDR+vitD-ChIP-Seq(GSE22484)	10
WT1(Zf)/Kidney-WT1-ChIP-Seq(GSE90016)	130
X-box(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)	28
YY1(Zf)/Promoter	92
ZBTB12(Zf)/HEK293-ZBTB12.GFP-ChIP-Seq(GSE58341)	27
ZBTB18(Zf)/HEK293-ZBTB18.GFP-ChIP-Seq(GSE58341)	8
ZBTB33(Zf)/GM12878-ZBTB33-ChIP-Seq(GSE32465)	112
ZEB1(Zf)/PDAC-ZEB1-ChIP-Seq(GSE64557)	6
ZEB2(Zf)/SNU398-ZEB2-ChIP-Seq(GSE103048)	6
ZFP3(Zf)/HEK293-ZFP3.GFP-ChIP-Seq(GSE58341)	90
ZFX(Zf)/mES-Zfx-ChIP-Seq(GSE11431)	85
ZKSCAN1(Zf)/HepG2-ZKSCAN1-ChIP-Seq(Encode)	99
ZNF136(Zf)/HEK293-ZNF136.GFP-ChIP-Seq(GSE58341)	103
ZNF143|STAF(Zf)/CUTLL-ZNF143-ChIP-Seq(GSE29600)	108
ZNF16(Zf)/HEK293-ZNF16.GFP-ChIP-Seq(GSE58341)	93
ZNF165(Zf)/WHIM12-ZNF165-ChIP-Seq(GSE65937)	78
ZNF189(Zf)/HEK293-ZNF189.GFP-ChIP-Seq(GSE58341)	19
ZNF264(Zf)/HEK293-ZNF264.GFP-ChIP-Seq(GSE58341)	88
ZNF317(Zf)/HEK293-ZNF317.GFP-ChIP-Seq(GSE58341)	5
ZNF322(Zf)/HEK293-ZNF322.GFP-ChIP-Seq(GSE58341)	83
ZNF341(Zf)/EBV-ZNF341-ChIP-Seq(GSE113194)	20
ZNF382(Zf)/HEK293-ZNF382.GFP-ChIP-Seq(GSE58341)	69
ZNF41(Zf)/HEK293-ZNF41.GFP-ChIP-Seq(GSE58341)	70
ZNF415(Zf)/HEK293-ZNF415.GFP-ChIP-Seq(GSE58341)	94
ZNF416(Zf)/HEK293-ZNF416.GFP-ChIP-Seq(GSE58341)	110
ZNF467(Zf)/HEK293-ZNF467.GFP-ChIP-Seq(GSE58341)	129
ZNF519(Zf)/HEK293-ZNF519.GFP-ChIP-Seq(GSE58341)	91
ZNF528(Zf)/HEK293-ZNF528.GFP-ChIP-Seq(GSE58341)	35
ZNF652/HepG2-ZNF652.Flag-ChIP-Seq(Encode)	128
ZNF669(Zf)/HEK293-ZNF669.GFP-ChIP-Seq(GSE58341)	18
ZNF675(Zf)/HEK293-ZNF675.GFP-ChIP-Seq(GSE58341)	23
ZNF692(Zf)/HEK293-ZNF692.GFP-ChIP-Seq(GSE58341)	132
ZNF7(Zf)/HepG2-ZNF7.Flag-ChIP-Seq(Encode)	46
ZNF711(Zf)/SHSY5Y-ZNF711-ChIP-Seq(GSE20673)	85
ZNF768(Zf)/Rajj-ZNF768-ChIP-Seq(GSE111879)	100
ZSCAN22(Zf)/HEK293-ZSCAN22.GFP-ChIP-Seq(GSE58341)	77
Zac1(Zf)/Neuro2A-Plagl1-ChIP-Seq(GSE75942)	74
Zfp281(Zf)/ES-Zfp281-ChIP-Seq(GSE81042)	129
Zfp57(Zf)/H1-ZFP57.HA-ChIP-Seq(GSE115387)	105
Zfp809(Zf)/ES-Zfp809-ChIP-Seq(GSE70799)	111
Zic(Zf)/Cerebellum-ZIC1.2-ChIP-Seq(GSE60731)	98
Zic2(Zf)/ESC-Zic2-ChIP-Seq(SRP197560)	98
Zic3(Zf)/mES-Zic3-ChIP-Seq(GSE37889)	98
Znf263(Zf)/K562-Znf263-ChIP-Seq(GSE31477)	107
bHLHE40(bHLH)/HepG2-BHLHE40-ChIP-Seq(GSE31477)	1
bHLHE41(bHLH)/proB-Bhlhe41-ChIP-Seq(GSE93764)	1
bZIP:IRF(bZIP,IRF)/Th17-BatF-ChIP-Seq(GSE39756)	37
c-Jun-CRE(bZIP)/K562-cJun-ChIP-Seq(GSE31477)	124
c-Myc(bHLH)/LNCAP-cMyc-ChIP-Seq(Unpublished)	1
c-Myc(bHLH)/mES-cMyc-ChIP-Seq(GSE11431)	1
n-Myc(bHLH)/mES-nMyc-ChIP-Seq(GSE11431)	1
p53(p53)/Saos-p53-ChIP-Seq	101
p53(p53)/Saos-p53-ChIP-Seq(GSE15780)	101
p53(p53)/mES-cMyc-ChIP-Seq(GSE11431)	101
p63(p53)/Keratinocyte-p63-ChIP-Seq(GSE17611)	101
p73(p53)/Trachea-p73-ChIP-Seq(PRJNA310161)	101
